代码	名称	细分行业	现价	涨幅%	毛利率%	净利润率%	净益率%	涨跌	买价	卖价	总量	现量	涨速%	换手%	今开	最高	最低	昨收	市盈(动)	总金额	量比	地区	振幅%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	开盘金额	开盘换手Z	封成比	封单额	流通股(亿)	流通市值	AB股总市值	强弱度%	活跃度	笔均量	笔换手	连涨天	昨涨幅%	3日涨幅%	20日涨幅%	60日涨幅%	年初至今%	年涨停天	换手Z	流通市值Z	流通比例Z	市盈(TTM)	市盈(静)	贝塔系数	近日指标提示	短期形态	中期形态	长期形态	开盘%	最高%	最低%	均涨幅%	实体涨幅%	回头波%	攻击波%	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	货币资金(亿)	存货(亿)	应收帐款(亿)	预收账款(亿)	资本公积金(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	扣非净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	股息率%	每股收益	每股净资	调整后净资	每股公积	每股未分配	每股现金流	权益比%	营业利润率%	研发费用(亿)	员工人数	交易代码	自选日	自选价	自选收益%	
000001	平安银行	银行	23.89	-0.13	--  	         24.25	   2.72㈠	-0.03	23.88	23.89	497527	9019	0.04	          0.26	23.89	23.92	23.38	23.92	    11.44	117660.81	  0.81	深圳	2.26	23.65	259870	237657	  1.09	150	1295	--  	1413.57	          0.01	--  	--  	        194.06	       4636.03亿	       4636.07亿	  1.05	   4665	    107	        0.0001	-5	-1.16	-2.49	3.37	5.06	24.68	1	          0.61	       1949.58亿	         42.05	15.21	16.05	0.85	MACD死叉				-0.13	0.00	-2.26	-1.13	0.00	-0.13	2.18	20210521	19910403	        194.06	--  	--  	45729.74	3726.17	--  	91.85	0.00	118.28	63.28	0.00	4067.05	0.00	0.00	--  	808.16	417.88	0.00	129.29	27.57	128.74	101.32	101.32	101.11	1392.87	-115.53	44.24	331829.00	         24593	58.75万	18.53	10.18	          1.53	-40.13	11.09	0.75	0.420㈠	         15.60	15.60	          4.16	          7.18	         -0.60	          8.15	         30.94	--  	38097	000001	--  	--  	--  	
000002	万 科Ａ	全国地产	26.76	0.60	         20.41	          2.08	   0.57㈠	0.16	26.75	26.76	853545	10281	0.22	          0.88	26.50	27.18	26.31	26.60	    60.14	228726.42	  1.36	深圳	3.27	26.80	422674	430871	  0.98	301	379	--  	967.78	          0.01	--  	--  	         97.18	       2600.42亿	       2602.20亿	  1.78	   4708	    181	        0.0002	1	-0.37	-0.70	-5.00	-18.14	-6.76	1	          1.32	       1732.64亿	         66.58	7.44	7.44	0.47	KDJ死叉				-0.38	2.18	-1.09	0.74	0.98	-1.55	1.71	20210423	19910129	        116.18	--  	         18.94	19078.61	2257.08	       1297.24	81.37	15843.32	124.16	61.61	13469.20	1965.99	10207.64	33.24	9.38	184.46	622.64	495.56	40.45	5.36	41.08	25.07	12.92	11.57	997.09	168.79	29.84	394010.00	         16433	43.97万	3.44	30.33	          1.38	18.42	4.99	4.70	0.111㈠	         19.43	0.00	          1.59	          8.58	          1.45	         11.83	          6.50	1.27	140565	000002	--  	--  	--  	
000004	国华网安	软件服务	16.57	3.69	         64.41	         11.77	   0.29㈠	0.59	16.56	16.57	47126	1111	0.24	          4.09	16.21	17.18	15.92	15.98	   159.03	7719.21	  1.91	深圳	7.88	16.38	20285	26841	  0.76	71	227	--  	67.27	          0.05	--  	--  	          1.15	         19.08亿	         27.35亿	  4.87	   1688	     28	        0.0024	1	-0.37	5.01	4.01	-8.66	-19.95	4	          6.00	         13.02亿	         47.62	40.51	40.81	0.56	-- -- 				1.44	7.51	-0.38	2.50	2.22	-3.55	4.08	20210513	19910114	          1.65	--  	--  	15.80	14.61	          0.00	7.50	5.47	0.02	0.28	1.14	1.33	0.05	3.67	0.01	12.00	0.37	0.13	0.05	0.00	0.05	0.04	0.04	0.04	0.83	-0.40	-0.48	20397.00	          3853	6.38万	12.66	57.10	          1.87	-67.94	74.87	0.00	0.026㈠	          8.85	0.00	          7.27	          0.50	         -0.24	         92.50	         13.27	0.06	264	000004	--  	--  	--  	
000005	ST星源	环境保护	1.80	0.56	         31.79	         17.40	   0.67㈠	0.01	1.80	1.81	82389	535	0.00	          0.78	1.80	1.83	1.77	1.79	    56.84	1481.21	  0.81	深圳	3.35	1.80	42683	39706	  1.07	874	2371	--  	8.23	          0.01	--  	--  	         10.58	         19.04亿	         19.05亿	  1.74	    731	    113	        0.0011	2	2.29	0.57	-18.92	-20.36	-28.85	4	          0.95	         15.62亿	         81.96	--  	--  	0.00	-- -- 				0.56	2.23	-1.12	0.44	0.00	-1.64	1.69	20210506	19901210	         10.59	--  	--  	24.04	12.48	          0.93	44.22	12.98	0.28	0.60	10.44	0.79	0.21	3.33	--  	6.88	0.48	0.33	0.08	0.19	0.09	0.08	0.08	-0.12	-5.23	-0.32	-0.49	114750.00	          7560	1.36万	139.93	5.38	          1.53	-59.72	39.56	0.00	0.008㈠	          1.18	0.00	          0.65	         -0.49	         -0.03	         51.93	         17.42	0.08	629	000005	--  	--  	--  	
000006	深振业Ａ	区域地产	5.24	-0.76	         50.02	         29.33	   3.53㈠	-0.04	5.23	5.24	58093	1191	0.19	          0.43	5.29	5.29	5.22	5.28	     6.57	3053.91	  0.85	深圳	1.33	5.26	40231	17862	  2.25	387	43	--  	10.58	          0.00	--  	--  	         13.50	         70.74亿	         70.74亿	  0.42	   1328	     44	        0.0003	-1	0.38	-0.95	-2.78	1.74	-6.59	4	          0.68	         44.57亿	         63.01	7.09	8.24	0.10	-- -- 				0.19	0.19	-1.14	-0.44	-0.95	-0.95	0.38	20210429	19920427	         13.50	--  	--  	160.52	76.34	          4.88	49.40	122.86	0.44	0.00	41.11	32.32	75.37	0.11	0.02	4.84	9.18	4.59	3.65	0.90	3.66	2.84	2.69	2.63	38.98	3.10	12.84	70390.00	         12084	6.33万	110.53	40.80	          0.93	22.85	7.70	3.66	0.200㈠	          5.65	0.00	          0.36	          2.89	          0.23	         47.56	         39.76	--  	397	000006	--  	--  	--  	
000007	*ST全新	酒店餐饮	3.66	-1.08	         65.63	         -9.80	  -2.04㈠	-0.04	3.66	3.68	29560	139	0.27	          0.96	3.70	3.71	3.64	3.70	--  	1084.20	  0.67	深圳	1.89	3.67	15231	14329	  1.06	47	75	--  	6.70	          0.01	--  	--  	          3.09	         11.31亿	         12.68亿	  0.10	    405	     73	        0.0024	-1	0.00	-0.55	-2.14	-2.92	-47.49	12	          1.16	          9.30亿	         73.34	--  	--  	0.30	-- -- 				0.00	0.27	-1.62	-0.87	-1.08	-1.35	0.55	20210429	19920413	          3.46	--  	--  	3.79	0.63	          0.03	82.45	2.62	0.46	0.00	2.11	0.61	0.01	0.08	--  	1.57	0.13	0.05	-0.01	-0.02	-0.01	-0.01	-0.01	0.02	-3.90	0.06	0.10	36182.00	          7022	2.57万	94.35	50.09	         20.07	217.50	96.39	0.00	-0.004㈠	          0.18	0.00	          0.45	         -1.13	          0.02	         16.67	         -8.18	--  	76	000007	--  	--  	--  	
000008	神州高铁	运输设备	2.28	0.00	         45.34	        -57.61	  -1.33㈠	0.00	2.27	2.28	126807	1191	0.00	          0.48	2.27	2.29	2.27	2.28	--  	2893.32	  0.92	北京	0.88	2.28	73169	53638	  1.36	23721	855	--  	20.25	          0.01	--  	--  	         26.65	         60.77亿	         63.40亿	  1.18	   1907	     66	        0.0002	0	0.88	-0.01	1.79	-5.00	-10.24	0	          0.79	         36.54亿	         57.64	--  	--  	0.01	KDJ金叉				-0.44	0.44	-0.44	0.07	0.44	-0.44	0.44	20210524	19920507	         27.81	--  	--  	131.77	64.60	          1.23	50.05	60.09	4.38	3.11	50.24	9.25	12.53	26.72	--  	27.92	1.49	0.82	-0.79	0.26	-0.79	-0.87	-0.86	-0.88	10.65	-1.45	0.91	90478.00	         17715	4.04万	20.52	25.11	          0.98	-43.82	42.47	0.00	-0.030㈠	          2.32	0.00	          1.00	          0.38	         -0.05	         49.02	        -52.74	0.43	2394	000008	--  	--  	--  	
000009	中国宝安	综合类	9.92	-1.29	         32.67	          5.14	   2.69㈠	-0.13	9.91	9.92	253314	2203	0.10	          0.99	10.00	10.09	9.89	10.05	    33.62	25274.07	  0.73	深圳	1.99	9.98	150329	102985	  1.46	2408	547	--  	82.10	          0.00	--  	--  	         25.51	        253.10亿	        255.86亿	 -0.12	   3485	     73	        0.0003	-2	-1.76	0.92	-5.71	7.59	31.74	4	          1.34	        187.74亿	         73.38	31.93	39.17	0.50	-- -- 				-0.50	0.40	-1.59	-0.72	-0.80	-1.68	0.30	20210527	19910625	         25.79	--  	--  	322.33	70.83	         64.92	57.88	211.49	46.11	10.96	119.81	56.27	89.72	20.80	0.02	12.08	37.01	24.92	4.48	1.65	4.46	3.54	1.90	1.22	29.99	2.40	-11.44	128626.00	         14714	14.60万	373.43	129.33	          3.61	106.47	6.91	0.30	0.074㈠	          2.75	0.00	          0.47	          1.16	          0.09	         21.98	         12.12	1.38	13345	000009	--  	--  	--  	
000010	美丽生态	建筑工程	4.02	-0.25	         12.51	          0.69	   0.32㈠	-0.01	4.01	4.02	45925	467	0.25	          0.88	4.01	4.05	4.00	4.03	   521.06	1847.28	  0.70	深圳	1.24	4.02	28823	17102	  1.69	2747	576	--  	16.76	          0.01	--  	--  	          5.22	         20.99亿	         32.96亿	  0.93	    792	     58	        0.0011	-2	-0.49	0.01	-4.29	11.05	2.81	9	          0.94	         19.73亿	         59.86	62.21	82.93	0.00	空头排列				-0.50	0.50	-0.74	-0.19	0.25	-0.74	0.50	20210508	19951027	          8.20	--  	--  	35.59	4.93	          3.31	76.83	27.48	0.22	0.02	25.72	0.29	1.85	17.96	--  	14.81	2.28	2.00	0.14	0.00	0.15	0.08	0.02	0.01	-18.16	-0.41	-0.39	38827.00	         12640	5.08万	113.53	224.56	          6.68	-80.89	14.45	0.00	0.002㈠	          0.60	0.00	          1.81	         -2.22	         -0.05	         13.87	          6.19	--  	278	000010	--  	--  	--  	
000011	深物业A	区域地产	12.52	-3.47	         64.68	         24.06	   5.44㈠	-0.45	12.51	12.52	91616	1213	0.00	          1.74	12.86	12.90	12.42	12.97	     8.70	11564.71	  0.80	深圳	3.70	12.62	59708	31908	  1.87	104	367	--  	55.81	          0.02	--  	--  	          5.26	         65.91亿	         74.62亿	 -2.29	   2763	     33	        0.0006	-1	0.93	-3.48	7.00	15.92	6.46	15	          4.90	         23.42亿	         31.38	8.98	9.68	0.32	-- -- 				-0.85	-0.54	-4.24	-2.68	-2.64	-2.95	0.81	20210429	19920330	          5.96	          0.68	--  	124.56	39.42	          0.46	67.99	107.35	1.12	0.00	47.58	42.37	53.29	2.41	0.01	0.80	8.91	3.15	2.65	0.03	2.73	2.07	2.14	2.08	32.53	0.83	0.29	55834.00	          4561	5.71万	41.05	3.42	          1.89	89.67	8.37	3.16	0.360㈠	          6.61	0.00	          0.14	          5.46	          0.14	         31.65	         29.73	--  	8035	000011	--  	--  	--  	
